Owner,Address,City,State,ZIPCODE,Country,Coordinates,Type of Plant,Gas Source,Plant Capacity,SA/DA,Emissions,Year Built
Glencore Canada - CEZinc - Plant 3,860 Boulevard Cadieu,Salaberry-de-Valleyfield,Quebec,J6S 4W2,Canada,"45º 13' 37"" N, 74º 5' 42"" W",Metallurgical,Zinc,520 MTPD,SA,,1981
Teck Metals Limited - Plant 9,"PO Box 1000, 25 Aldridge Avenue",Trail,British Columbia,V1R 4L8,Canada,"49º 6' 5"" N, 117º 43' 13"" W",Metallurgical,Zinc,581 MTPD,3 SA,,1972
Nutrien - Plant No.1,Bag 20,Redwater ,Alberta,T0A 2W0,Canada,"53º 50' 43"" N, 113º 5' 22"" W",Sulfur Burner,Elemental Sulfur,2200 MTPD,3/1 DA,,1975
Nutrien - Plant No.2,Bag 20,Redwater ,Alberta,T0A 2W0,Canada,"53º 50' 39"" N, 113º 5' 22"" W",Sulfur Burner,Elemental Sulfur,1090 MTPD,3/1 DA,,1986
Orano Canada Inc - Plant 1,,Pinehouse,,,Canada,"57° 12' 46"" N, 105° 40' 17"" W",Sulfur Burner,Elemental Sulfur,200 MTPD,,,
Orano Canada Inc - Plant 2,,Pinehouse,,,Canada,"57° 12' 46"" N, 105° 40' 17"" W",Sulfur Burner,Elemental Sulfur,300 MTPD,DA,,2011
Border Chemical Co,595 Gunn Road,Winnipeg,Manitoba,R2C 5G2,Canada,"49° 55' 2"" N, 96° 59' 53"" W",Sulfur Burner,Elemental Sulfur,360 MTPD,,,
Cameco,,Rabbit Lake,,,Canada,"43°56'36""N 78°17'43""W",Sulfur Burner,Elemental Sulfur,,,,
CCC Group,60 First Street East,Elmira,Ontario,N3B 2Z5,Canada,"43º 35' 30"" N, 80º 33' 6"" W",Sulfur Burner,Elemental Sulfur,140 MTPD,4 SA,,
Chemtrade,3025 Industrial Way,Prince George,British Columbia,V2N 5S6,Canada,"53º 50' 39"" N, 122º 44' 0"" W",Sulfur Burner,Elemental Sulfur,145 MTPD,3/1 DA,,1966
Sherrit Gordon Mines,,Fort Saskatchewan,Alberta,,Canada,"53° 43' 12"" N, 113° 11' 8"" W ",Sulfur Burner,Elemental Sulfur,570 MTPD,DA,,1974
Minera Mexico SA de CV - Mexicana de Cobre - Plant No.1 ,,La Caridad,Sonora,,Mexico,"30º 29' 32"" N, 109º 38' 2"" W",Metallurgical,Copper,2614 MTPD,3/1 DA,,1988
Minera Mexico SA de CV - Mexicana de Cobre - Plant No.2,,La Caridad,Sonora,,Mexico,"30º 29' 35"" N, 109º 38' 5"" W",Metallurgical,Copper,2300 MTPD,3/1 DA,,1996
Molymex SA de CV,,Cumpas,Sonora,,Mexico,"30° 0' 40.5"" N, 109° 46' 57.5"" W",Metallurgical,Molybdenum,65 MTPD,2 SA,,2001
Industrial Minera Mexico SA de CV,Cempol Eliseos 400 Col Lomas de Chapultepec,,Mexico DF,11000,Mexico,"22° 10' 13"" N, 101° 2' 10"" W",Metallurgical,Zinc,,,,
Met-Mex Penoles SA de CV - Plant No.2,,Torreon,Coahuila,,Mexico,"25º 31' 48"" N, 103º 26' 33"" W",Metallurgical,Zinc,600 MTPD,DA,,1973
